Title,Keyword,Search Type,Product Type,Mean,Median,Mode,Mode Freq,Std Dev,Max,Min,Percentile25,Percentile75
Prices,rings,Organic,All,34.37,12.99,9.99,823.0,162.54,4768.9,0.01,9.99,19.99
Rating,rings,Organic,All,4.27,4.4,4.5,949.0,0.66,5.0,0.0,4.1,4.6
Reviews Count,rings,Organic,All,1128.89,118.0,1.0,209.0,3382.27,71518.0,1.0,22.0,725.0
Amount Discounted,rings,Organic,All,4.87,2.0,1.0,194.0,10.29,128.48,0.5,1.0,5.0
Percent Discounted,rings,Organic,All,0.2,0.16,0.1,31.0,0.14,0.78,0.05,0.1,0.29
Revenue,rings,Organic,Best Seller,166850.17,85724.19,388238.95,9.0,178661.12,797241.18,35.98,28911.06,231766.92
Prices,rings,Organic,Best Seller,13.3,11.99,9.99,22.0,5.96,54.95,5.88,9.99,14.99
Rating,rings,Organic,Best Seller,4.38,4.4,4.4,23.0,0.25,5.0,3.6,4.3,4.5
Reviews Count,rings,Organic,Best Seller,12475.61,8581.0,24341.0,9.0,12380.86,71518.0,2.0,2472.0,20128.0
Amount Discounted,rings,Organic,Best Seller,4.31,3.0,3.0,4.0,3.58,13.2,0.5,2.0,6.0
Percent Discounted,rings,Organic,Best Seller,0.23,0.23,0.23,3.0,0.11,0.39,0.06,0.12,0.32
Revenue,rings,Organic,Past Month Sales Volume,27354.91,6155.6,61519.5,10.0,61685.92,797241.18,5.97,1235.67,23511.88
Prices,rings,Organic,Past Month Sales Volume,13.9,12.58,9.99,288.0,9.93,249.99,0.5,8.99,14.99
Rating,rings,Organic,Past Month Sales Volume,4.38,4.4,4.6,323.0,0.39,5.0,0.0,4.2,4.6
Reviews Count,rings,Organic,Past Month Sales Volume,2148.34,514.0,6.0,19.0,4802.54,71518.0,1.0,100.0,1850.75
Amount Discounted,rings,Organic,Past Month Sales Volume,3.78,2.0,1.0,108.0,6.53,55.3,0.5,1.0,4.0
Percent Discounted,rings,Organic,Past Month Sales Volume,0.2,0.16,0.1,20.0,0.14,0.78,0.05,0.1,0.27
Revenue,rings,Organic,Prime,17564.07,2232.49,9.99,21.0,48128.27,897518.7,3.69,371.88,12816.24
Prices,rings,Organic,Prime,32.42,12.99,9.99,814.0,162.97,4768.9,1.31,9.99,18.99
Rating,rings,Organic,Prime,4.28,4.4,4.5,910.0,0.62,5.0,0.0,4.1,4.6
Reviews Count,rings,Organic,Prime,1180.41,132.0,2.0,168.0,3471.59,71518.0,1.0,24.75,789.0
Amount Discounted,rings,Organic,Prime,4.88,2.0,1.0,190.0,10.47,128.48,0.5,1.0,4.99
Percent Discounted,rings,Organic,Prime,0.2,0.16,0.1,30.0,0.14,0.71,0.05,0.1,0.27
Revenue,rings,Paid,All,16059.95,4438.74,111.92,3.0,31384.55,257091.43,12.99,964.42,16662.51
Prices,rings,Paid,All,34.55,15.96,13.99,17.0,55.02,398.99,4.88,13.34,28.24
Rating,rings,Paid,All,4.28,4.3,4.4,24.0,0.61,5.0,0.0,4.2,4.5
Reviews Count,rings,Paid,All,812.68,188.0,1.0,5.0,1393.15,8466.0,1.0,40.75,830.0
Amount Discounted,rings,Paid,All,5.9,2.0,1.0,3.0,6.31,20.0,1.0,1.96,10.0
Percent Discounted,rings,Paid,All,0.16,0.12,0.1,2.0,0.08,0.3,0.07,0.1,0.2
Revenue,rings,Paid,Best Seller,56338.38,56338.38,56338.38,1.0,,56338.38,56338.38,56338.38,56338.38
Prices,rings,Paid,Best Seller,21.99,21.99,21.99,1.0,,21.99,21.99,21.99,21.99
Rating,rings,Paid,Best Seller,4.6,4.6,4.6,1.0,,4.6,4.6,4.6,4.6
Reviews Count,rings,Paid,Best Seller,2562.0,2562.0,2562.0,1.0,,2562.0,2562.0,2562.0,2562.0
Amount Discounted,rings,Paid,Best Seller,,,,,,,,,
Percent Discounted,rings,Paid,Best Seller,,,,,,,,,
Revenue,rings,Paid,Past Month Sales Volume,20321.72,8923.78,3329.62,3.0,27109.28,119922.0,111.92,2689.55,24324.24
Prices,rings,Paid,Past Month Sales Volume,15.6,13.99,13.99,7.0,11.52,69.99,5.99,9.99,15.98
Rating,rings,Paid,Past Month Sales Volume,4.28,4.3,4.3,12.0,0.24,4.8,3.4,4.12,4.4
Reviews Count,rings,Paid,Past Month Sales Volume,1460.92,709.0,238.0,3.0,1836.19,8466.0,8.0,226.75,1879.0
Amount Discounted,rings,Paid,Past Month Sales Volume,1.75,1.96,1.0,2.0,0.76,2.8,1.0,1.0,2.0
Percent Discounted,rings,Paid,Past Month Sales Volume,0.13,0.12,0.1,2.0,0.04,0.2,0.1,0.1,0.12
Revenue,rings,Paid,Prime,16297.23,4549.09,111.92,3.0,31919.66,257091.43,12.99,979.3,17275.68
Prices,rings,Paid,Prime,28.64,14.99,13.99,17.0,36.97,299.99,4.88,12.99,27.6
Rating,rings,Paid,Prime,4.29,4.3,4.4,23.0,0.5,5.0,0.0,4.2,4.5
Reviews Count,rings,Paid,Prime,842.26,223.0,1.0,4.0,1416.77,8466.0,1.0,46.0,857.0
Amount Discounted,rings,Paid,Prime,5.9,2.0,1.0,3.0,6.31,20.0,1.0,1.96,10.0
Percent Discounted,rings,Paid,Prime,0.16,0.12,0.1,2.0,0.08,0.3,0.07,0.1,0.2
Revenue,necklace,Organic,All,18163.75,1917.36,19.98,53.0,62150.91,1283887.33,1.62,287.64,10385.0
Prices,necklace,Organic,All,23.22,12.99,9.99,1060.0,60.93,2099.0,0.01,9.99,17.99
Rating,necklace,Organic,All,4.34,4.4,4.5,1618.0,0.61,5.0,0.0,4.3,4.6
Reviews Count,necklace,Organic,All,1049.45,120.0,1.0,277.0,3286.48,45839.0,1.0,21.0,668.0
Amount Discounted,necklace,Organic,All,4.62,2.01,1.0,256.0,13.43,385.01,0.5,1.0,4.0
Percent Discounted,necklace,Organic,All,0.2,0.17,0.1,40.0,0.14,1.0,0.05,0.1,0.28
Revenue,necklace,Organic,Best Seller,145847.47,26539.62,7882.11,5.0,245246.82,1068621.68,89.91,9460.11,195874.33
Prices,necklace,Organic,Best Seller,16.93,13.99,9.99,10.0,13.07,68.89,4.13,9.99,16.24
Rating,necklace,Organic,Best Seller,4.48,4.5,4.5,30.0,0.16,4.9,3.9,4.4,4.6
Reviews Count,necklace,Organic,Best Seller,6443.37,2268.0,789.0,9.0,7502.33,22825.0,9.0,789.0,13067.0
Amount Discounted,necklace,Organic,Best Seller,4.94,4.0,1.0,1.0,3.58,11.0,1.0,2.2,6.0
Percent Discounted,necklace,Organic,Best Seller,0.21,0.2,0.06,1.0,0.11,0.38,0.06,0.15,0.31
Revenue,necklace,Organic,Past Month Sales Volume,35530.77,5652.35,19.98,10.0,95267.02,1283887.33,5.04,1228.36,25570.35
Prices,necklace,Organic,Past Month Sales Volume,17.23,13.45,9.99,372.0,15.11,159.99,0.01,9.99,17.1
Rating,necklace,Organic,Past Month Sales Volume,4.4,4.5,4.4,656.0,0.45,5.0,0.0,4.3,4.6
Reviews Count,necklace,Organic,Past Month Sales Volume,2097.75,409.0,3.0,26.0,5054.33,45839.0,1.0,91.5,1694.0
Amount Discounted,necklace,Organic,Past Month Sales Volume,4.52,2.7,1.0,109.0,7.74,84.5,0.5,1.23,4.0
Percent Discounted,necklace,Organic,Past Month Sales Volume,0.2,0.19,0.1,21.0,0.13,1.0,0.05,0.1,0.28
Revenue,necklace,Organic,Prime,18208.35,2006.88,19.98,52.0,61123.57,1283887.33,1.98,294.1,10836.22
Prices,necklace,Organic,Prime,19.8,12.99,9.99,1040.0,51.67,2099.0,1.98,9.99,16.99
Rating,necklace,Organic,Prime,4.35,4.4,4.5,1547.0,0.59,5.0,0.0,4.3,4.6
Reviews Count,necklace,Organic,Prime,1072.6,129.0,1.0,239.0,3317.49,45839.0,1.0,24.0,700.5
Amount Discounted,necklace,Organic,Prime,4.15,2.0,1.0,247.0,7.66,149.61,0.5,1.0,4.0
Percent Discounted,necklace,Organic,Prime,0.2,0.17,0.2,40.0,0.13,0.75,0.05,0.1,0.27
Revenue,necklace,Paid,All,24641.86,5501.33,24639.58,4.0,54558.71,389596.35,9.99,731.39,24639.58
Prices,necklace,Paid,All,20.26,14.99,13.99,18.0,16.7,162.0,4.89,12.99,22.99
Rating,necklace,Paid,All,4.44,4.4,4.4,38.0,0.33,5.0,2.0,4.3,4.6
Reviews Count,necklace,Paid,All,1666.82,335.0,1.0,5.0,3749.46,24365.0,1.0,38.0,1678.0
Amount Discounted,necklace,Paid,All,3.91,3.0,1.0,9.0,5.56,28.8,1.0,1.0,4.0
Percent Discounted,necklace,Paid,All,0.18,0.15,0.06,4.0,0.12,0.5,0.06,0.08,0.25
Revenue,necklace,Paid,Best Seller,28496.26,28496.26,13101.26,1.0,21771.81,43891.25,13101.26,20798.76,36193.75
Prices,necklace,Paid,Best Seller,12.24,12.24,9.49,1.0,3.89,14.99,9.49,10.86,13.62
Rating,necklace,Paid,Best Seller,4.45,4.45,4.4,1.0,0.07,4.5,4.4,4.43,4.47
Reviews Count,necklace,Paid,Best Seller,2749.5,2749.5,874.0,1.0,2652.36,4625.0,874.0,1811.75,3687.25
Amount Discounted,necklace,Paid,Best Seller,5.0,5.0,5.0,1.0,,5.0,5.0,5.0,5.0
Percent Discounted,necklace,Paid,Best Seller,0.25,0.25,0.25,1.0,,0.25,0.25,0.25,0.25
Revenue,necklace,Paid,Past Month Sales Volume,28300.4,8323.79,80593.56,3.0,48684.27,315519.1,89.94,3065.66,26055.14
Prices,necklace,Paid,Past Month Sales Volume,18.02,13.99,13.99,13.0,15.24,94.99,4.89,11.98,17.48
Rating,necklace,Paid,Past Month Sales Volume,4.43,4.4,4.4,17.0,0.21,5.0,3.7,4.3,4.5
Reviews Count,necklace,Paid,Past Month Sales Volume,2062.72,481.5,4244.0,3.0,3796.75,21190.0,6.0,225.75,2257.0
Amount Discounted,necklace,Paid,Past Month Sales Volume,4.73,3.05,1.0,4.0,7.13,28.8,1.0,1.12,4.75
Percent Discounted,necklace,Paid,Past Month Sales Volume,0.19,0.17,0.06,1.0,0.11,0.39,0.06,0.09,0.27
Revenue,necklace,Paid,Prime,25160.83,5763.99,24639.58,4.0,55595.38,389596.35,9.99,749.96,24639.58
Prices,necklace,Paid,Prime,20.05,14.99,13.99,18.0,16.84,162.0,4.89,12.99,22.72
Rating,necklace,Paid,Prime,4.43,4.4,4.4,36.0,0.33,5.0,2.0,4.3,4.6
Reviews Count,necklace,Paid,Prime,1704.63,337.5,1.0,4.0,3818.53,24365.0,1.0,38.5,1690.0
Amount Discounted,necklace,Paid,Prime,3.91,2.83,1.0,9.0,5.68,28.8,1.0,1.0,4.25
Percent Discounted,necklace,Paid,Prime,0.18,0.16,0.06,4.0,0.12,0.5,0.06,0.08,0.25
Revenue,earrings,Organic,All,12592.26,1025.82,9.99,40.0,44125.47,1749582.0,2.99,159.68,7289.71
Prices,earrings,Organic,All,24.35,12.99,9.99,929.0,188.11,15017.4,0.98,8.99,15.99
Rating,earrings,Organic,All,4.31,4.4,4.5,1477.0,0.57,5.0,0.0,4.2,4.6
Reviews Count,earrings,Organic,All,758.83,76.0,1.0,367.0,2334.78,47286.0,1.0,14.0,466.25
Amount Discounted,earrings,Organic,All,4.37,2.0,1.0,279.0,18.79,620.0,0.5,1.0,4.0
Percent Discounted,earrings,Organic,All,0.21,0.17,0.1,38.0,0.14,0.75,0.05,0.1,0.29
Revenue,earrings,Organic,Best Seller,149740.14,17897.6,1006.88,3.0,308157.04,1749582.0,9.99,3710.38,116520.47
Prices,earrings,Organic,Best Seller,13.42,13.69,9.99,8.0,5.03,37.0,7.99,9.99,14.98
Rating,earrings,Organic,Best Seller,4.39,4.4,4.4,16.0,0.23,5.0,3.7,4.4,4.5
Reviews Count,earrings,Organic,Best Seller,9465.83,1232.0,47286.0,4.0,15446.55,47286.0,1.0,352.0,7690.0
Amount Discounted,earrings,Organic,Best Seller,2.73,1.6,1.0,7.0,2.51,10.0,1.0,1.0,4.0
Percent Discounted,earrings,Organic,Best Seller,0.18,0.12,0.1,4.0,0.13,0.53,0.06,0.1,0.23
Revenue,earrings,Organic,Past Month Sales Volume,25302.51,5079.09,39.96,6.0,64201.25,1749582.0,2.99,940.37,22738.6
Prices,earrings,Organic,Past Month Sales Volume,14.81,13.45,13.99,327.0,9.76,146.62,1.98,9.99,15.9
Rating,earrings,Organic,Past Month Sales Volume,4.37,4.4,4.5,689.0,0.35,5.0,0.0,4.3,4.5
Reviews Count,earrings,Organic,Past Month Sales Volume,1638.53,378.0,3.0,24.0,3596.05,47286.0,1.0,75.0,1667.0
Amount Discounted,earrings,Organic,Past Month Sales Volume,3.63,2.0,1.0,131.0,6.48,65.84,0.5,1.0,3.79
Percent Discounted,earrings,Organic,Past Month Sales Volume,0.18,0.14,0.06,21.0,0.12,0.75,0.05,0.09,0.23
Revenue,earrings,Organic,Prime,12670.23,1066.79,9.99,39.0,43348.21,1749582.0,2.99,162.11,7655.9
Prices,earrings,Organic,Prime,22.47,12.99,9.99,908.0,174.63,15017.4,0.98,8.99,15.98
Rating,earrings,Organic,Prime,4.32,4.4,4.5,1446.0,0.55,5.0,0.0,4.2,4.6
Reviews Count,earrings,Organic,Prime,776.78,79.0,1.0,335.0,2367.7,47286.0,1.0,15.0,490.0
Amount Discounted,earrings,Organic,Prime,4.15,2.0,1.0,271.0,18.79,620.0,0.5,1.0,4.0
Percent Discounted,earrings,Organic,Prime,0.21,0.17,0.1,36.0,0.14,0.69,0.05,0.1,0.29
Revenue,earrings,Paid,All,16899.43,1407.47,202.4,6.0,41947.11,287905.0,7.99,252.6,11593.16
Prices,earrings,Paid,All,19.95,14.2,13.99,23.0,20.87,170.99,5.99,11.99,21.99
Rating,earrings,Paid,All,4.33,4.5,4.5,54.0,0.85,5.0,0.0,4.3,4.6
Reviews Count,earrings,Paid,All,973.69,91.0,1.0,9.0,2355.75,20275.0,1.0,20.25,733.75
Amount Discounted,earrings,Paid,All,3.54,3.25,1.0,6.0,2.8,15.07,1.0,1.54,4.66
Percent Discounted,earrings,Paid,All,0.2,0.14,0.07,3.0,0.15,0.5,0.05,0.07,0.33
Revenue,earrings,Paid,Best Seller,89.91,89.91,89.91,1.0,,89.91,89.91,89.91,89.91
Prices,earrings,Paid,Best Seller,9.99,9.99,9.99,1.0,,9.99,9.99,9.99,9.99
Rating,earrings,Paid,Best Seller,4.9,4.9,4.9,1.0,,4.9,4.9,4.9,4.9
Reviews Count,earrings,Paid,Best Seller,9.0,9.0,9.0,1.0,,9.0,9.0,9.0,9.0
Amount Discounted,earrings,Paid,Best Seller,,,,,,,,,
Percent Discounted,earrings,Paid,Best Seller,,,,,,,,,
Revenue,earrings,Paid,Past Month Sales Volume,30201.19,9043.94,439.56,2.0,54245.87,287905.0,38.97,1407.48,35198.24
Prices,earrings,Paid,Past Month Sales Volume,14.94,13.99,13.99,15.0,5.17,31.99,7.99,10.99,16.99
Rating,earrings,Paid,Past Month Sales Volume,4.48,4.5,4.5,23.0,0.18,5.0,4.1,4.4,4.6
Reviews Count,earrings,Paid,Past Month Sales Volume,1968.96,598.0,22.0,2.0,3335.06,20275.0,3.0,96.0,2281.5
Amount Discounted,earrings,Paid,Past Month Sales Volume,3.91,4.0,1.0,5.0,3.51,15.07,1.0,1.0,5.0
Percent Discounted,earrings,Paid,Past Month Sales Volume,0.22,0.2,0.07,3.0,0.14,0.5,0.06,0.07,0.33
Revenue,earrings,Paid,Prime,17077.84,1375.4,202.4,6.0,42211.01,287905.0,7.99,255.3,11667.99
Prices,earrings,Paid,Prime,19.36,13.99,13.99,23.0,19.0,170.99,5.99,11.99,21.99
Rating,earrings,Paid,Prime,4.33,4.5,4.5,53.0,0.86,5.0,0.0,4.3,4.6
Reviews Count,earrings,Paid,Prime,984.76,93.0,1.0,9.0,2370.17,20275.0,1.0,20.5,746.0
Amount Discounted,earrings,Paid,Prime,3.54,3.25,1.0,6.0,2.8,15.07,1.0,1.54,4.66
Percent Discounted,earrings,Paid,Prime,0.2,0.14,0.07,3.0,0.15,0.5,0.05,0.07,0.33
Revenue,amethyst,Organic,All,9330.06,899.8,99.99,34.0,41151.97,1283887.33,0.03,164.95,4793.31
Prices,amethyst,Organic,All,48.87,19.99,9.99,438.0,92.08,2046.61,0.01,12.99,45.99
Rating,amethyst,Organic,All,4.15,4.4,4.5,802.0,1.07,5.0,0.0,4.1,4.6
Reviews Count,amethyst,Organic,All,470.95,31.0,1.0,475.0,2052.69,66948.0,1.0,5.0,213.0
Amount Discounted,amethyst,Organic,All,7.18,2.92,1.0,71.0,22.87,320.75,0.37,1.14,6.0
Percent Discounted,amethyst,Organic,All,0.21,0.16,0.1,11.0,0.15,0.74,0.04,0.1,0.29
Revenue,amethyst,Organic,Best Seller,192754.87,14592.7,853160.0,2.0,312622.87,853160.0,1048.95,2193.62,363612.6
Prices,amethyst,Organic,Best Seller,18.25,12.98,8.99,2.0,14.58,55.0,6.99,9.98,18.99
Rating,amethyst,Organic,Best Seller,4.4,4.4,4.5,5.0,0.19,4.6,3.8,4.3,4.5
Reviews Count,amethyst,Organic,Best Seller,7423.88,1094.0,232.0,3.0,11039.1,35400.0,105.0,232.0,15512.0
Amount Discounted,amethyst,Organic,Best Seller,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0
Percent Discounted,amethyst,Organic,Best Seller,0.07,0.07,0.07,1.0,,0.07,0.07,0.07,0.07
Revenue,amethyst,Organic,Past Month Sales Volume,45427.14,7892.75,69.9,2.0,126456.54,1283887.33,8.99,2212.58,32550.98
Prices,amethyst,Organic,Past Month Sales Volume,16.75,12.98,9.99,56.0,15.13,129.99,2.99,8.99,17.77
Rating,amethyst,Organic,Past Month Sales Volume,4.44,4.5,4.5,104.0,0.4,5.0,0.0,4.4,4.6
Reviews Count,amethyst,Organic,Past Month Sales Volume,2556.35,644.5,114.0,5.0,6187.37,66948.0,1.0,173.5,2046.0
Amount Discounted,amethyst,Organic,Past Month Sales Volume,5.45,2.09,1.0,16.0,11.05,84.5,0.49,1.0,4.0
Percent Discounted,amethyst,Organic,Past Month Sales Volume,0.21,0.16,0.12,4.0,0.16,0.74,0.05,0.1,0.31
Revenue,amethyst,Organic,Prime,10513.51,1136.4,99.99,34.0,44299.67,1283887.33,3.99,198.0,6066.61
Prices,amethyst,Organic,Prime,40.34,18.0,9.99,430.0,72.14,2046.61,2.95,11.99,39.99
Rating,amethyst,Organic,Prime,4.24,4.4,4.5,738.0,0.88,5.0,0.0,4.2,4.6
Reviews Count,amethyst,Organic,Prime,530.82,45.0,1.0,296.0,2172.58,66948.0,1.0,8.0,274.0
Amount Discounted,amethyst,Organic,Prime,7.15,2.75,1.0,71.0,23.3,320.75,0.37,1.1,5.1
Percent Discounted,amethyst,Organic,Prime,0.21,0.16,0.1,11.0,0.15,0.74,0.04,0.1,0.29
Revenue,amethyst,Paid,All,10355.69,2263.38,2750.28,5.0,26475.03,246390.0,12.72,506.73,6834.64
Prices,amethyst,Paid,All,57.52,35.99,49.99,16.0,83.96,1200.0,6.36,17.99,69.99
Rating,amethyst,Paid,All,4.36,4.5,4.5,65.0,0.68,5.0,0.0,4.3,4.6
Reviews Count,amethyst,Paid,All,307.05,54.0,2.0,20.0,751.81,8662.0,1.0,10.0,318.25
Amount Discounted,amethyst,Paid,All,10.53,8.97,1.0,2.0,8.39,31.0,1.0,6.0,10.0
Percent Discounted,amethyst,Paid,All,0.23,0.18,0.05,2.0,0.18,0.7,0.05,0.08,0.32
Revenue,amethyst,Paid,Best Seller,,,,,,,,,
Prices,amethyst,Paid,Best Seller,,,,,,,,,
Rating,amethyst,Paid,Best Seller,,,,,,,,,
Reviews Count,amethyst,Paid,Best Seller,,,,,,,,,
Amount Discounted,amethyst,Paid,Best Seller,,,,,,,,,
Percent Discounted,amethyst,Paid,Best Seller,,,,,,,,,
Revenue,amethyst,Paid,Past Month Sales Volume,18280.88,4169.02,237.83,1.0,31949.33,118034.93,237.83,1949.48,17984.36
Prices,amethyst,Paid,Past Month Sales Volume,19.68,15.97,13.99,3.0,9.08,39.99,11.99,13.99,19.49
Rating,amethyst,Paid,Past Month Sales Volume,4.45,4.5,4.5,7.0,0.3,4.8,3.5,4.4,4.6
Reviews Count,amethyst,Paid,Past Month Sales Volume,707.26,265.0,17.0,1.0,962.52,3113.0,17.0,106.5,1006.0
Amount Discounted,amethyst,Paid,Past Month Sales Volume,9.0,9.0,9.0,1.0,0.0,9.0,9.0,9.0,9.0
Percent Discounted,amethyst,Paid,Past Month Sales Volume,0.36,0.36,0.33,1.0,0.04,0.39,0.33,0.35,0.38
Revenue,amethyst,Paid,Prime,10671.56,2639.45,2750.28,5.0,27012.21,246390.0,12.72,539.17,7401.4
Prices,amethyst,Paid,Prime,53.95,32.99,49.99,15.0,84.38,1200.0,6.36,16.99,59.99
Rating,amethyst,Paid,Prime,4.43,4.5,4.5,62.0,0.5,5.0,0.0,4.3,4.6
Reviews Count,amethyst,Paid,Prime,313.17,68.0,2.0,19.0,737.86,8662.0,1.0,14.5,332.0
Amount Discounted,amethyst,Paid,Prime,10.56,8.95,1.0,2.0,8.6,31.0,1.0,6.0,10.0
Percent Discounted,amethyst,Paid,Prime,0.23,0.19,0.05,2.0,0.18,0.7,0.05,0.08,0.32
Revenue,aquamarine,Organic,All,11876.66,1157.38,99.99,17.0,48392.4,1212722.31,1.06,239.94,6098.08
Prices,aquamarine,Organic,All,88.86,31.99,9.99,218.0,173.61,3646.2,1.06,14.99,79.99
Rating,aquamarine,Organic,All,4.15,4.4,5.0,721.0,1.06,5.0,0.0,4.1,4.6
Reviews Count,aquamarine,Organic,All,491.84,24.0,1.0,514.0,2136.15,88643.0,1.0,4.0,192.0
Amount Discounted,aquamarine,Organic,All,9.42,4.0,1.0,27.0,15.23,100.0,0.5,1.89,10.0
Percent Discounted,aquamarine,Organic,All,0.2,0.15,0.29,6.0,0.15,0.71,0.05,0.09,0.29
Revenue,aquamarine,Organic,Best Seller,285830.5,84885.03,716.16,1.0,397445.35,1021398.6,716.16,7707.79,535791.3
Prices,aquamarine,Organic,Best Seller,22.8,12.98,9.99,4.0,18.79,65.0,8.99,9.99,30.97
Rating,aquamarine,Organic,Best Seller,4.38,4.4,4.3,4.0,0.2,4.7,4.0,4.3,4.55
Reviews Count,aquamarine,Organic,Best Seller,8250.73,7587.0,15528.0,3.0,8841.68,24348.0,64.0,617.5,15528.0
Amount Discounted,aquamarine,Organic,Best Seller,2.27,2.8,1.0,1.0,1.1,3.0,1.0,1.9,2.9
Percent Discounted,aquamarine,Organic,Best Seller,0.17,0.2,0.07,1.0,0.08,0.23,0.07,0.14,0.22
Revenue,aquamarine,Organic,Past Month Sales Volume,67928.98,20989.93,169510.32,3.0,149469.43,1212722.31,43.0,4742.2,66346.45
Prices,aquamarine,Organic,Past Month Sales Volume,23.22,13.99,9.99,25.0,21.92,156.0,3.29,11.95,24.98
Rating,aquamarine,Organic,Past Month Sales Volume,4.39,4.5,4.5,65.0,0.32,4.9,1.0,4.3,4.6
Reviews Count,aquamarine,Organic,Past Month Sales Volume,3088.1,1093.5,1965.0,4.0,5262.24,48770.0,2.0,298.25,3987.0
Amount Discounted,aquamarine,Organic,Past Month Sales Volume,6.46,2.81,1.0,6.0,12.29,56.35,0.5,1.0,5.75
Percent Discounted,aquamarine,Organic,Past Month Sales Volume,0.19,0.15,0.15,2.0,0.12,0.49,0.05,0.1,0.25
Revenue,aquamarine,Organic,Prime,13958.28,1505.0,99.99,17.0,52516.5,1212722.31,4.99,279.86,8127.29
Prices,aquamarine,Organic,Prime,64.9,26.99,9.99,212.0,131.48,3646.2,1.48,13.99,59.99
Rating,aquamarine,Organic,Prime,4.23,4.4,4.5,574.0,0.92,5.0,0.0,4.1,4.6
Reviews Count,aquamarine,Organic,Prime,567.51,41.0,1.0,267.0,1740.25,24787.0,1.0,7.0,294.0
Amount Discounted,aquamarine,Organic,Prime,9.02,4.0,1.0,27.0,14.98,100.0,0.5,1.9,10.0
Percent Discounted,aquamarine,Organic,Prime,0.2,0.15,0.29,6.0,0.15,0.68,0.05,0.09,0.29
Revenue,aquamarine,Paid,All,12673.82,2028.55,299.88,6.0,45967.79,780903.12,9.99,319.64,8545.5
Prices,aquamarine,Paid,All,72.21,29.99,39.99,24.0,167.03,1740.0,4.99,14.99,49.99
Rating,aquamarine,Paid,All,4.28,4.5,4.5,92.0,0.78,5.0,0.0,4.2,4.6
Reviews Count,aquamarine,Paid,All,421.35,61.0,1.0,26.0,1322.65,15528.0,1.0,9.0,327.0
Amount Discounted,aquamarine,Paid,All,14.98,4.0,2.0,5.0,43.92,287.5,0.5,2.0,10.0
Percent Discounted,aquamarine,Paid,All,0.18,0.16,0.12,4.0,0.1,0.4,0.05,0.11,0.23
Revenue,aquamarine,Paid,Best Seller,390883.02,390883.02,862.92,1.0,551571.72,780903.12,862.92,195872.97,585893.07
Prices,aquamarine,Paid,Best Seller,29.14,29.14,7.99,1.0,29.91,50.29,7.99,18.56,39.72
Rating,aquamarine,Paid,Best Seller,4.6,4.6,4.6,2.0,0.0,4.6,4.6,4.6,4.6
Reviews Count,aquamarine,Paid,Best Seller,7818.0,7818.0,108.0,1.0,10903.59,15528.0,108.0,3963.0,11673.0
Amount Discounted,aquamarine,Paid,Best Seller,3.36,3.36,2.0,1.0,1.92,4.71,2.0,2.68,4.03
Percent Discounted,aquamarine,Paid,Best Seller,0.14,0.14,0.09,1.0,0.08,0.2,0.09,0.11,0.17
Revenue,aquamarine,Paid,Past Month Sales Volume,39487.34,8572.32,16363.62,2.0,112029.07,780903.12,44.97,1241.52,21623.99
Prices,aquamarine,Paid,Past Month Sales Volume,27.67,18.49,9.99,5.0,24.44,99.99,4.99,12.23,34.46
Rating,aquamarine,Paid,Past Month Sales Volume,4.47,4.5,4.5,16.0,0.28,5.0,3.1,4.4,4.6
Reviews Count,aquamarine,Paid,Past Month Sales Volume,1350.35,409.5,45.0,2.0,2761.63,15528.0,3.0,84.0,1235.0
Amount Discounted,aquamarine,Paid,Past Month Sales Volume,4.97,3.8,2.0,3.0,4.29,14.0,1.0,2.0,5.25
Percent Discounted,aquamarine,Paid,Past Month Sales Volume,0.19,0.17,0.17,2.0,0.1,0.4,0.09,0.11,0.21
Revenue,aquamarine,Paid,Prime,13154.48,2336.1,299.88,6.0,48115.63,780903.12,9.99,415.82,8664.08
Prices,aquamarine,Paid,Prime,64.56,25.0,14.99,21.0,158.25,1740.0,4.99,13.99,49.99
Rating,aquamarine,Paid,Prime,4.36,4.5,4.5,84.0,0.59,5.0,0.0,4.3,4.6
Reviews Count,aquamarine,Paid,Prime,448.39,77.0,1.0,19.0,1371.97,15528.0,1.0,10.0,355.5
Amount Discounted,aquamarine,Paid,Prime,14.69,4.0,2.0,5.0,44.4,287.5,0.5,2.0,8.0
Percent Discounted,aquamarine,Paid,Prime,0.18,0.17,0.12,4.0,0.1,0.4,0.05,0.11,0.23
Revenue,lapis lazuli,Organic,All,5031.67,404.73,9.99,13.0,23043.15,991392.09,3.99,99.99,2186.94
Prices,lapis lazuli,Organic,All,39.24,19.99,9.99,239.0,114.63,2859.88,2.99,12.99,34.99
Rating,lapis lazuli,Organic,All,3.59,4.4,0.0,656.0,1.74,5.0,0.0,3.7,4.6
Reviews Count,lapis lazuli,Organic,All,302.13,14.0,1.0,436.0,1115.49,24791.0,1.0,4.0,105.5
Amount Discounted,lapis lazuli,Organic,All,5.15,3.0,2.0,24.0,14.21,178.25,0.6,1.9,5.0
Percent Discounted,lapis lazuli,Organic,All,0.2,0.14,0.13,5.0,0.14,0.78,0.05,0.1,0.28
Revenue,lapis lazuli,Organic,Best Seller,6566.43,9230.13,1443.59,1.0,4639.25,11678.31,1443.59,1805.09,10001.38
